X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-8798216.99543568,4291340.47123719,2019/08/19 22:03:57+00,13.62,14.83,17.2,18.37,19.11,17.92,15.46,91,48,1004.33,Chapel Hill Public Library,outside,35.932522,-79.035728,3510,-81,1,,10067
-8798216.99543568,4291340.47123719,2019/08/19 22:03:57+00,13.62,14.83,17.2,18.37,19.11,17.92,15.46,91,48,1004.33,Chapel Hill Public Library,outside,35.932522,-79.035728,3510,-81,61,,10068
-8798216.99543568,4291340.47123719,2019/08/19 23:21:13+00,11.98,14.55,17.03,18.26,19.09,17.91,15.46,88,51,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,1016,-80,43,,10069
-8798216.99543568,4291340.47123719,2019/08/19 23:21:13+00,11.98,14.55,17.03,18.26,19.09,17.91,15.46,88,51,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,1016,-80,103,,10070
-8798216.99543568,4291340.47123719,2019/08/20 01:36:46+00,13.06,13.16,15.33,17.04,18.83,17.86,15.46,85,55,1005.81,Chapel Hill Public Library,outside,35.932522,-79.035728,1804,-82,28,,10071
-8798216.99543568,4291340.47123719,2019/08/20 01:36:46+00,13.06,13.16,15.33,17.04,18.83,17.86,15.46,85,55,1005.81,Chapel Hill Public Library,outside,35.932522,-79.035728,1804,-82,88,,10072
-8798216.99543568,4291340.47123719,2019/08/20 01:36:46+00,13.06,13.16,15.33,17.04,18.83,17.86,15.46,85,55,1005.81,Chapel Hill Public Library,outside,35.932522,-79.035728,1804,-82,148,,10073
-8798216.99543568,4291340.47123719,2019/08/20 01:36:46+00,13.06,13.16,15.33,17.04,18.83,17.86,15.46,85,55,1005.81,Chapel Hill Public Library,outside,35.932522,-79.035728,1804,-82,208,,10074
-8798216.99543568,4291340.47123719,2019/08/20 01:36:46+00,13.06,13.16,15.33,17.04,18.83,17.86,15.46,85,55,1005.81,Chapel Hill Public Library,outside,35.932522,-79.035728,1804,-82,268,,10075
-8798216.99543568,4291340.47123719,2019/08/20 01:36:46+00,13.06,13.16,15.33,17.04,18.83,17.86,15.46,85,55,1005.81,Chapel Hill Public Library,outside,35.932522,-79.035728,1804,-82,328,,10076
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,13,,10077
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,73,,10078
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,73,,10079
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,133,,10080
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,193,,10081
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,253,,10082
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,313,,10083
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,373,,10084
-8798216.99543568,4291340.47123719,2019/08/20 07:51:44+00,13.52,13.2,15.27,16.98,18.81,17.86,15.45,81,62,1004.92,Chapel Hill Public Library,outside,35.932522,-79.035728,1879,-86,433,,10085
-8798216.99543568,4291340.47123719,2019/08/20 15:39:38+00,10.79,12.71,14.77,16.58,18.72,17.84,15.45,95,47,1007.63,Chapel Hill Public Library,outside,35.932522,-79.035728,1308,-83,25,,10086
-8798216.99543568,4291340.47123719,2019/08/20 15:39:38+00,10.79,12.71,14.77,16.58,18.72,17.84,15.45,95,47,1007.63,Chapel Hill Public Library,outside,35.932522,-79.035728,1308,-83,85,,10087
-8798216.99543568,4291340.47123719,2019/08/20 17:13:23+00,9.39,12.38,14.59,16.46,18.69,17.83,15.45,100,42,1007.03,Chapel Hill Public Library,outside,35.932522,-79.035728,556,-81,51,,10088
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,6,,10089
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,66,,10090
